Ward_ID,Year,Month,Rainfall_mm,Avg_Temp_C,Garbage_Complaints,Waterlogging_Complaints,Dengue_Cases,Risk_Level,Date
1,2021,1,5.7,20.4,35,5,22,Medium,2021-01-01
1,2021,2,14.5,18.3,25,4,11,Low,2021-02-01
1,2021,3,5.1,32.6,20,3,15,Low,2021-03-01
1,2021,4,1.2,38.3,21,7,16,Low,2021-04-01
1,2021,5,98.0,32.5,20,16,18,Low,2021-05-01
1,2021,6,150.3,24.0,6,17,36,Medium,2021-06-01
1,2021,7,102.9,28.3,38,18,68,High,2021-07-01
1,2021,8,99.6,25.5,24,11,34,Medium,2021-08-01
1,2021,9,137.4,26.7,26,13,47,Medium,2021-09-01
1,2021,10,94.0,29.7,16,14,48,Medium,2021-10-01
1,2021,11,79.2,28.5,11,13,28,Medium,2021-11-01
1,2021,12,7.4,21.6,19,3,29,Medium,2021-12-01
1,2022,1,8.8,20.4,6,8,15,Low,2022-01-01
1,2022,2,13.9,19.7,39,4,22,Medium,2022-02-01
1,2022,3,13.0,32.7,33,5,20,Medium,2022-03-01
1,2022,4,12.2,34.5,21,1,10,Low,2022-04-01
1,2022,5,100.5,35.5,36,10,26,Medium,2022-05-01
1,2022,6,136.0,28.4,16,16,37,Medium,2022-06-01
1,2022,7,140.6,25.5,23,16,55,Medium,2022-07-01
1,2022,8,94.8,25.9,8,17,43,Medium,2022-08-01
1,2022,9,130.9,28.4,18,16,45,Medium,2022-09-01
1,2022,10,108.0,26.4,10,17,43,Medium,2022-10-01
1,2022,11,57.9,25.3,30,13,43,Medium,2022-11-01
1,2022,12,10.4,17.6,10,4,16,Low,2022-12-01
1,2023,1,9.9,24.0,23,4,14,Low,2023-01-01
1,2023,2,7.0,20.1,33,6,19,Low,2023-02-01
1,2023,3,14.7,37.1,8,4,13,Low,2023-03-01
1,2023,4,6.4,32.2,24,3,13,Low,2023-04-01
1,2023,5,85.6,36.9,37,15,29,Medium,2023-05-01
1,2023,6,162.4,26.6,35,23,52,Medium,2023-06-01
1,2023,7,219.3,25.9,27,26,76,High,2023-07-01
1,2023,8,192.0,28.4,30,25,85,High,2023-08-01
1,2023,9,151.1,25.7,26,18,61,High,2023-09-01
1,2023,10,81.2,28.9,24,12,46,Medium,2023-10-01
1,2023,11,84.2,27.1,27,9,39,Medium,2023-11-01
1,2023,12,8.0,19.2,35,8,28,Medium,2023-12-01
2,2021,1,10.9,19.7,28,13,24,Medium,2021-01-01
2,2021,2,14.6,20.8,13,9,12,Low,2021-02-01
2,2021,3,16.4,33.1,31,8,25,Medium,2021-03-01
2,2021,4,7.6,34.9,66,9,40,Medium,2021-04-01
2,2021,5,44.0,30.4,35,11,30,Medium,2021-05-01
2,2021,6,56.5,23.5,15,8,23,Medium,2021-06-01
2,2021,7,126.9,26.0,57,22,63,High,2021-07-01
2,2021,8,105.3,27.4,38,18,64,High,2021-08-01
2,2021,9,153.1,27.2,19,22,60,High,2021-09-01
2,2021,10,37.3,26.6,64,3,67,High,2021-10-01
2,2021,11,101.0,30.8,16,14,23,Medium,2021-11-01
2,2021,12,6.7,20.6,22,6,25,Medium,2021-12-01
2,2022,1,7.0,19.8,51,0,29,Medium,2022-01-01
2,2022,2,5.7,17.4,28,12,19,Low,2022-02-01
2,2022,3,17.2,36.6,67,3,36,Medium,2022-03-01
2,2022,4,12.7,33.7,6,1,1,Low,2022-04-01
2,2022,5,27.9,34.3,38,8,24,Medium,2022-05-01
2,2022,6,242.3,23.9,66,25,58,Medium,2022-06-01
2,2022,7,138.3,24.5,48,16,91,High,2022-07-01
2,2022,8,107.7,28.1,56,10,60,High,2022-08-01
2,2022,9,138.8,28.5,41,26,74,High,2022-09-01
2,2022,10,44.8,26.5,13,11,43,Medium,2022-10-01
2,2022,11,59.2,25.5,22,8,26,Medium,2022-11-01
2,2022,12,16.1,23.7,63,12,42,Medium,2022-12-01
2,2023,1,10.3,18.5,41,7,27,Medium,2023-01-01
2,2023,2,11.1,21.4,57,6,27,Medium,2023-02-01
2,2023,3,9.7,33.3,59,13,44,Medium,2023-03-01
2,2023,4,7.9,33.4,31,4,18,Low,2023-04-01
2,2023,5,69.0,35.2,23,16,22,Medium,2023-05-01
2,2023,6,171.2,27.8,16,29,46,Medium,2023-06-01
2,2023,7,114.7,28.5,67,11,79,High,2023-07-01
2,2023,8,186.1,26.3,62,24,78,High,2023-08-01
2,2023,9,195.4,26.5,39,27,84,High,2023-09-01
2,2023,10,40.3,29.1,52,9,82,High,2023-10-01
2,2023,11,125.9,22.2,41,22,41,Medium,2023-11-01
2,2023,12,6.1,22.4,46,10,42,Medium,2023-12-01
3,2021,1,15.8,19.6,23,3,9,Low,2021-01-01
3,2021,2,0.5,23.1,19,1,14,Low,2021-02-01
3,2021,3,10.2,33.7,2,1,0,Low,2021-03-01
3,2021,4,8.2,35.1,5,1,2,Low,2021-04-01
3,2021,5,34.1,35.4,4,3,0,Low,2021-05-01
3,2021,6,208.2,25.4,8,21,34,Medium,2021-06-01
3,2021,7,106.2,23.1,14,15,54,Medium,2021-07-01
3,2021,8,142.6,25.4,21,14,34,Medium,2021-08-01
3,2021,9,151.0,26.0,23,20,56,Medium,2021-09-01
3,2021,10,67.1,27.3,27,7,47,Medium,2021-10-01
3,2021,11,99.5,25.7,4,12,25,Medium,2021-11-01
3,2021,12,11.1,23.1,12,5,30,Medium,2021-12-01
3,2022,1,6.8,20.4,25,5,10,Low,2022-01-01
3,2022,2,11.0,23.0,14,2,2,Low,2022-02-01
3,2022,3,8.6,34.2,10,0,10,Low,2022-03-01
3,2022,4,10.4,36.9,6,1,0,Low,2022-04-01
3,2022,5,99.0,35.6,24,14,21,Medium,2022-05-01
3,2022,6,50.6,27.7,3,5,39,Medium,2022-06-01
3,2022,7,168.6,31.1,6,16,24,Medium,2022-07-01
3,2022,8,101.3,28.2,28,12,62,High,2022-08-01
3,2022,9,172.4,27.5,23,18,48,Medium,2022-09-01
3,2022,10,71.0,24.0,20,7,36,Medium,2022-10-01
3,2022,11,44.5,24.8,12,7,39,Medium,2022-11-01
3,2022,12,5.8,18.2,10,0,15,Low,2022-12-01
3,2023,1,9.2,20.3,16,1,12,Low,2023-01-01
3,2023,2,14.2,20.4,21,4,20,Medium,2023-02-01
3,2023,3,4.8,34.9,28,0,6,Low,2023-03-01
3,2023,4,7.6,36.0,19,0,11,Low,2023-04-01
3,2023,5,70.4,34.3,12,7,15,Low,2023-05-01
3,2023,6,103.8,30.6,28,12,39,Medium,2023-06-01
3,2023,7,126.0,27.8,2,17,40,Medium,2023-07-01
3,2023,8,161.4,25.0,18,19,44,Medium,2023-08-01
3,2023,9,102.3,28.5,26,12,54,Medium,2023-09-01
3,2023,10,92.9,29.3,22,14,52,Medium,2023-10-01
3,2023,11,88.1,27.5,21,13,35,Medium,2023-11-01
3,2023,12,0.6,22.3,24,5,29,Medium,2023-12-01
4,2021,1,10.6,20.5,5,8,11,Low,2021-01-01
4,2021,2,5.1,18.0,6,7,11,Low,2021-02-01
4,2021,3,13.3,34.0,26,6,18,Low,2021-03-01
4,2021,4,5.5,30.7,44,2,25,Medium,2021-04-01
4,2021,5,34.2,30.8,7,9,17,Low,2021-05-01
4,2021,6,128.0,28.7,21,19,34,Medium,2021-06-01
4,2021,7,208.2,30.8,23,21,50,Medium,2021-07-01
4,2021,8,188.2,28.3,34,25,82,High,2021-08-01
4,2021,9,173.2,26.2,14,21,54,Medium,2021-09-01
4,2021,10,99.4,29.1,28,14,65,High,2021-10-01
4,2021,11,31.0,26.0,22,11,42,Medium,2021-11-01
4,2021,12,11.9,23.3,25,3,16,Low,2021-12-01
4,2022,1,10.3,19.4,19,5,19,Low,2022-01-01
4,2022,2,6.0,18.0,24,0,12,Low,2022-02-01
4,2022,3,10.9,33.8,20,8,18,Low,2022-03-01
4,2022,4,13.3,35.3,22,9,22,Medium,2022-04-01
4,2022,5,77.1,34.5,42,15,34,Medium,2022-05-01
4,2022,6,133.4,25.4,12,17,33,Medium,2022-06-01
4,2022,7,142.1,24.7,20,20,64,High,2022-07-01
4,2022,8,70.7,25.5,18,9,35,Medium,2022-08-01
4,2022,9,166.4,25.8,4,24,44,Medium,2022-09-01
4,2022,10,68.9,25.5,12,9,45,Medium,2022-10-01
4,2022,11,117.8,25.8,8,15,26,Medium,2022-11-01
4,2022,12,4.1,15.8,36,3,33,Medium,2022-12-01
4,2023,1,13.6,20.8,8,2,4,Low,2023-01-01
4,2023,2,14.1,16.7,17,2,8,Low,2023-02-01
4,2023,3,7.9,36.0,18,8,19,Low,2023-03-01
4,2023,4,11.8,35.0,28,7,19,Low,2023-04-01
4,2023,5,53.0,36.1,31,11,24,Medium,2023-05-01
4,2023,6,168.1,22.7,4,25,32,Medium,2023-06-01
4,2023,7,239.8,28.8,7,25,58,Medium,2023-07-01
4,2023,8,159.8,23.9,28,15,63,High,2023-08-01
4,2023,9,243.5,29.3,16,28,68,High,2023-09-01
4,2023,10,86.5,25.2,35,10,73,High,2023-10-01
4,2023,11,101.3,29.7,16,15,30,Medium,2023-11-01
4,2023,12,0.0,20.4,45,0,34,Medium,2023-12-01
5,2021,1,7.4,20.0,17,8,15,Low,2021-01-01
5,2021,2,7.3,18.7,46,3,29,Medium,2021-02-01
5,2021,3,5.4,36.2,16,1,6,Low,2021-03-01
5,2021,4,10.3,35.8,51,4,21,Medium,2021-04-01
5,2021,5,83.0,34.9,45,19,42,Medium,2021-05-01
5,2021,6,83.0,28.2,62,13,67,High,2021-06-01
5,2021,7,116.5,28.4,21,12,34,Medium,2021-07-01
5,2021,8,206.0,23.9,30,30,51,Medium,2021-08-01
5,2021,9,132.4,28.1,22,18,57,Medium,2021-09-01
5,2021,10,82.3,26.9,39,17,58,Medium,2021-10-01
5,2021,11,73.2,26.3,22,11,37,Medium,2021-11-01
5,2021,12,2.1,21.2,36,10,40,Medium,2021-12-01
5,2022,1,14.7,18.5,56,10,20,Medium,2022-01-01
5,2022,2,5.2,24.3,26,11,23,Medium,2022-02-01
5,2022,3,15.4,34.1,58,11,33,Medium,2022-03-01
5,2022,4,5.9,39.2,62,1,34,Medium,2022-04-01
5,2022,5,150.4,34.1,41,26,49,Medium,2022-05-01
5,2022,6,193.1,27.3,40,25,77,High,2022-06-01
5,2022,7,110.5,28.0,48,13,74,High,2022-07-01
5,2022,8,124.5,26.6,17,13,44,Medium,2022-08-01
5,2022,9,176.0,26.9,40,26,73,High,2022-09-01
5,2022,10,65.6,28.2,20,15,56,Medium,2022-10-01
5,2022,11,94.7,27.6,17,14,35,Medium,2022-11-01
5,2022,12,13.0,19.0,40,5,40,Medium,2022-12-01
5,2023,1,11.8,21.6,62,6,35,Medium,2023-01-01
5,2023,2,0.0,18.0,15,10,11,Low,2023-02-01
5,2023,3,5.0,31.5,10,11,15,Low,2023-03-01
5,2023,4,8.4,36.6,49,7,26,Medium,2023-04-01
5,2023,5,70.0,34.6,53,17,43,Medium,2023-05-01
5,2023,6,61.4,30.2,21,17,41,Medium,2023-06-01
5,2023,7,98.2,25.3,49,11,49,Medium,2023-07-01
5,2023,8,143.0,27.8,49,24,73,High,2023-08-01
5,2023,9,192.3,29.1,27,30,70,High,2023-09-01
5,2023,10,74.3,26.0,31,7,51,Medium,2023-10-01
5,2023,11,107.0,25.6,30,11,50,Medium,2023-11-01
5,2023,12,8.3,20.3,8,10,23,Medium,2023-12-01
6,2021,1,21.1,19.8,24,7,18,Low,2021-01-01
6,2021,2,7.8,22.3,62,11,41,Medium,2021-02-01
6,2021,3,19.4,34.1,24,12,30,Medium,2021-03-01
6,2021,4,13.8,32.5,57,11,42,Medium,2021-04-01
6,2021,5,89.7,32.7,15,15,21,Medium,2021-05-01
6,2021,6,113.5,30.1,20,21,48,Medium,2021-06-01
6,2021,7,93.5,26.4,43,17,57,Medium,2021-07-01
6,2021,8,126.2,28.7,56,12,63,High,2021-08-01
6,2021,9,201.5,26.6,15,25,52,Medium,2021-09-01
6,2021,10,28.2,26.6,19,13,48,Medium,2021-10-01
6,2021,11,79.2,27.9,52,9,44,Medium,2021-11-01
6,2021,12,5.1,15.6,32,10,36,Medium,2021-12-01
6,2022,1,8.1,14.4,49,7,30,Medium,2022-01-01
6,2022,2,14.0,16.3,24,10,22,Medium,2022-02-01
6,2022,3,14.0,35.8,58,1,30,Medium,2022-03-01
6,2022,4,8.2,33.5,53,7,36,Medium,2022-04-01
6,2022,5,49.5,31.8,61,16,36,Medium,2022-05-01
6,2022,6,160.0,25.1,40,15,39,Medium,2022-06-01
6,2022,7,105.7,27.5,59,18,87,High,2022-07-01
6,2022,8,115.2,25.8,29,19,52,Medium,2022-08-01
6,2022,9,182.5,22.5,13,20,37,Medium,2022-09-01
6,2022,10,61.0,27.5,20,7,42,Medium,2022-10-01
6,2022,11,81.5,26.1,9,12,27,Medium,2022-11-01
6,2022,12,9.7,21.5,7,12,30,Medium,2022-12-01
6,2023,1,13.5,18.1,48,11,36,Medium,2023-01-01
6,2023,2,10.8,18.7,52,4,32,Medium,2023-02-01
6,2023,3,6.9,32.9,20,0,11,Low,2023-03-01
6,2023,4,5.3,32.2,39,1,27,Medium,2023-04-01
6,2023,5,105.5,34.1,35,20,37,Medium,2023-05-01
6,2023,6,100.9,28.1,9,15,46,Medium,2023-06-01
6,2023,7,173.8,23.9,50,27,55,Medium,2023-07-01
6,2023,8,129.9,30.7,39,15,58,Medium,2023-08-01
6,2023,9,75.0,28.5,22,11,50,Medium,2023-09-01
6,2023,10,64.7,29.1,58,7,55,Medium,2023-10-01
6,2023,11,70.4,28.4,61,9,52,Medium,2023-11-01
6,2023,12,10.7,19.5,39,10,44,Medium,2023-12-01
7,2021,1,12.3,19.1,55,12,30,Medium,2021-01-01
7,2021,2,17.0,19.0,18,5,15,Low,2021-02-01
7,2021,3,1.5,30.0,64,1,38,Medium,2021-03-01
7,2021,4,3.0,34.5,12,12,14,Low,2021-04-01
