Rainfall_mm,Avg_Temp_C,Garbage_Complaints,Waterlogging_Complaints,Month,Quarter,DayOfYear,Month_sin,Month_cos,Is_Monsoon,Is_Summer,Is_Winter,Rainfall_Lag1,Rainfall_Lag2,Rainfall_Lag3,Temp_Lag1,Temp_Lag2,Cases_Lag1,Cases_Lag2,Cases_Lag3,Garbage_Lag1,Waterlog_Lag1,Rainfall_roll3_mean,Rainfall_roll7_mean,Cases_roll3_mean,Cases_roll7_mean,Temp_roll3_mean,Rainfall_roll3_std,Cases_roll3_std,Rainfall_roll7_max,Rainfall_roll7_min,Ward_Garbage_mean,Ward_Waterlog_mean,Ward_Cases_mean,Ward_Rainfall_mean,Dengue_Cases,Ward_ID
1.2,38.3,21,7,4,2,91,0.8660254037844387,-0.4999999999999998,0,1,0,5.1,14.5,5.7,32.6,18.3,15.0,11.0,22.0,20.0,3.0,6.933333333333334,6.625,14.0,16.0,29.73333333333333,6.836909633257802,2.6457513110645907,14.5,1.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,16,1
98.0,32.5,20,16,5,2,121,0.49999999999999994,-0.8660254037844387,0,1,0,1.2,5.1,14.5,38.3,32.6,16.0,15.0,11.0,21.0,7.0,34.766666666666666,24.9,16.333333333333332,16.4,34.46666666666667,54.79638065906665,1.5275252316519472,98.0,1.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,18,1
150.3,24.0,6,17,6,2,152,1.2246467991473532e-16,-1.0,1,0,0,98.0,1.2,5.1,32.5,38.3,18.0,16.0,15.0,20.0,16.0,83.16666666666667,45.800000000000004,23.333333333333332,19.666666666666668,31.599999999999994,75.64868361930256,11.015141094572204,150.3,1.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,36,1
102.9,28.3,38,18,7,3,182,-0.4999999999999997,-0.8660254037844388,1,0,0,150.3,98.0,1.2,24.0,32.5,36.0,18.0,16.0,6.0,17.0,117.06666666666666,53.95714285714286,40.666666666666664,26.571428571428573,28.266666666666666,28.885001875252435,25.32455988429677,150.3,1.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,68,1
99.6,25.5,24,11,8,3,213,-0.8660254037844385,-0.5000000000000004,1,0,0,102.9,150.3,98.0,28.3,24.0,68.0,36.0,18.0,38.0,18.0,117.59999999999998,67.37142857142858,46.0,28.285714285714285,25.933333333333334,28.367058360006304,19.078784028338916,150.3,1.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,34,1
137.4,26.7,26,13,9,3,244,-1.0,-1.8369701987210297e-16,1,0,0,99.6,102.9,150.3,25.5,28.3,34.0,68.0,36.0,24.0,11.0,113.3,84.92857142857143,49.666666666666664,33.42857142857143,26.833333333333332,20.936332056977005,17.15614564327703,150.3,1.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,47,1
94.0,29.7,16,14,10,4,274,-0.8660254037844386,0.5000000000000001,0,0,0,137.4,99.6,102.9,26.7,25.5,47.0,34.0,68.0,26.0,13.0,110.33333333333333,97.62857142857142,43.0,38.142857142857146,27.299999999999997,23.607061090557973,7.810249675906654,150.3,1.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,48,1
79.2,28.5,11,13,11,4,305,-0.5000000000000004,0.8660254037844384,0,0,0,94.0,137.4,99.6,29.7,26.7,48.0,47.0,34.0,16.0,14.0,103.53333333333332,108.77142857142859,41.0,39.857142857142854,28.299999999999997,30.24852613489351,11.269427669584644,150.3,79.2,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,28,1
7.4,21.6,19,3,12,4,335,-2.4492935982947064e-16,1.0,0,0,1,79.2,94.0,137.4,28.5,29.7,28.0,48.0,47.0,11.0,13.0,60.19999999999999,95.82857142857144,35.0,41.42857142857143,26.599999999999998,46.32105352860618,11.269427669584644,150.3,7.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,29,1
8.8,20.4,6,8,1,1,1,0.49999999999999994,0.8660254037844387,0,0,1,7.4,79.2,94.0,21.6,28.5,29.0,28.0,48.0,19.0,3.0,31.799999999999994,75.61428571428571,24.0,38.42857142857143,23.499999999999996,41.05557209441852,7.810249675906654,137.4,7.4,23.333333333333332,11.222222222222221,33.94444444444444,73.44722222222222,15,1
